t,x,y,yaw_deg,v,nearest_idx,target_idx,target_x,target_y,delta_deg,delta_rad
0.0,-27.0,25.0,0.0,8.0,0,20,-16.59664,30.0,17.4352099,0.3043018
0.05,-26.6,25.0,2.48194,8.0,0,20,-16.59664,30.0,16.475872,0.2875582
0.1,-26.20038,25.01732,4.81926,8.0,0,20,-16.59664,30.0,15.5699822,0.2717475
0.15,-25.80179,25.05093,7.02132,8.0,0,20,-16.59664,30.0,14.7182294,0.2568816
0.2,-25.40479,25.09982,9.09728,8.0,0,20,-16.59664,30.0,13.9206014,0.2429603
0.25,-25.00982,25.16307,11.05606,8.0,0,20,-16.59664,30.0,13.1765502,0.2299742
0.3,-24.61724,25.23977,12.90625,8.0,1,21,-16.17647,30.0,11.6451106,0.2032455
0.35,-24.22735,25.32912,14.53496,8.0,2,22,-15.7563,30.0,10.1778477,0.177637
0.4,-23.84015,25.42951,15.95375,8.0,3,23,-15.33613,30.0,8.7812484,0.1532617
0.45,-23.45556,25.53945,17.17453,8.0,4,24,-14.91597,30.0,7.459947,0.1302006
0.5,-23.07339,25.65756,18.20935,8.0,5,25,-14.4958,30.0,6.216933,0.108506
0.55,-22.69343,25.78256,19.07024,8.0,5,25,-14.4958,30.0,5.8712675,0.1024729
0.6,-22.31538,25.91325,19.88291,8.0,6,26,-14.07563,30.0,4.6901484,0.0818585
0.65,-21.93922,26.04929,20.53128,8.0,7,27,-13.65546,30.0,3.5913049,0.0626801
0.7,-21.56463,26.18958,21.02728,8.0,8,28,-13.23529,30.0,2.5742776,0.0449296
0.75,-21.19127,26.3331,21.38259,8.0,9,29,-12.81513,30.0,1.6377723,0.0285845
0.8,-20.8188,26.47894,21.60855,8.0,10,30,-12.39496,30.0,0.7798336,0.0136107
0.85,-20.44691,26.62625,21.71612,8.0,11,31,-11.97479,30.0,-0.0020044,-3.5e-05
0.9,-20.0753,26.77425,21.71585,8.0,12,32,-11.55462,30.0,-0.7105903,-0.0124021
0.95,-19.70369,26.92225,21.61783,8.0,13,33,-11.13445,30.0,-1.3490491,-0.0235453
